Region/City,Population_Age_10_and_older,Postgraduate_Education,Higher_Education
Абай,100.0,0.84,24.22
Ақмола,100.0,0.82,24.02
Ақтөбе,100.0,0.86,23.71
Алматы,100.0,0.76,23.9
Атырау,100.0,0.82,23.51
Батыс Қазақстан,100.0,0.83,23.6
Жамбыл,100.0,0.76,22.86
Жетісу,100.0,0.76,23.9
Қарағанды,100.0,0.87,24.01
Қостанай,100.0,0.84,24.23
Қызылорда,100.0,0.78,23.01
Маңғыстау,100.0,0.8,23.26
Павлодар,100.0,0.87,24.2
Солтүстік Қазақстан,100.0,0.82,24.43
Түркістан,100.0,0.37,22.12
Ұлытау,100.0,0.87,24.01
Шығыс Қазақстан,100.0,0.84,24.22
Астана қаласы,100.0,0.97,25.46
Алматы қаласы,100.0,0.9,23.83
Шымкент қаласы,100.0,0.84,21.9
